Drift,Temp
-0.005435, 16.000858
-0.005196, 16.001258
-0.005107, 16.001895
-0.005109, 16.000232
-0.005178, 15.866611
-0.005186, 15.549597
-0.005020, 15.512467
-0.005202, 15.701032
-0.004961, 15.519593
-0.004952, 15.262925
-0.004918, 15.173925
-0.004917, 15.217298
-0.004903, 15.001868
-0.004979, 15.294895
-0.004907, 14.902960
-0.004871, 14.804965
-0.004612, 14.806427
-0.004738, 14.764722
-0.004788, 14.651307
-0.004621, 14.622350
-0.004556, 14.695873
-0.004482, 14.219803
-0.004590, 14.455147
-0.004505, 14.098502
-0.004364, 14.098255
-0.004274, 14.195343
-0.004548, 14.099613
-0.004537, 13.902807
-0.004101, 14.000545
-0.004263, 14.000829
-0.004188, 13.903954
-0.004077, 13.903405
-0.004319, 13.903634
-0.004099, 13.805176
-0.004096, 13.806574
-0.003818, 13.511716
-0.004327, 13.609495
-0.004071, 13.708390
-0.003979, 13.706881
-0.004094, 13.804671
-0.004160, 13.532120
-0.003986, 13.297640
-0.003925, 13.194132
-0.004146, 13.392063
-0.003779, 13.099539

-0.004332, 13.098592
-0.004212, 13.001743
-0.004000, 12.999869
-0.004183, 13.000443
-0.004085, 12.804869
-0.004010, 12.805634
-0.004147, 12.904015
-0.004154, 12.707055
-0.004174, 12.415273
-0.004100, 12.707558
-0.003939, 12.513021
-0.004052, 12.512855
-0.004128, 12.317760
-0.004107, 12.512317
-0.004021, 12.346503
-0.003977, 12.293973
-0.004062, 12.294571
-0.003996, 12.195773
-0.003685, 12.391605
-0.003965, 12.097605
-0.003682, 12.000907
-0.004012, 12.098171
-0.003953, 12.196491
-0.004005, 12.000208
-0.003880, 12.000175
-0.003879, 12.001374
-0.003824, 11.903469
-0.003712, 11.929594
-0.004019, 11.975370
-0.003795, 11.882446
-0.004006, 11.630282
-0.003876, 11.543529
-0.003733, 11.782728
