Drift,Temp
-0.004534, 10.476636
-0.004624, 10.098834
-0.004477, 10.196153
-0.004581, 10.001410
-0.004659, 10.000880
-0.004504, 10.054175
-0.004743, 10.045552
-0.004524, 10.000621
-0.004552, 10.000327
-0.004612, 10.000191
-0.004618, 10.000870
-0.004764, 10.001811
-0.004729, 9.805087
-0.004652, 9.903864
-0.004852, 9.903315
-0.004638, 9.806326
-0.004748, 10.000311
-0.004664, 9.902315
-0.004851, 9.749270
-0.004623, 9.860878
-0.004662, 9.903760
-0.004849, 9.805421
-0.004678, 9.805675
-0.004797, 9.804427
-0.005038, 9.707760
-0.005085, 9.707347
-0.005006, 9.372404
-0.004865, 9.554159
-0.005057, 9.620365
-0.004866, 9.502536
-0.005108, 9.476110
-0.005098, 9.586939
-0.005108, 9.569783
-0.005001, 9.506866
-0.004974, 9.392512
-0.005148, 9.390856
-0.005064, 9.467134
-0.005107, 9.511790
-0.005118, 9.294033
-0.004926, 9.294758
-0.005287, 9.098364
-0.005257, 9.293917
-0.005117, 9.391215
-0.005054, 9.294005
-0.005181, 9.098204
-0.005273, 9.195839
-0.005309, 9.196569
-0.005306, 9.000577
-0.005337, 9.000002
-0.005219, 9.294431
