Drift,Temp
-0.009562, 19.239477
-0.009519, 19.253833
-0.009440, 19.098564
-0.009435, 18.905498
-0.009200, 18.904556
-0.009303, 19.199417
-0.009322, 18.723087
-0.009275, 18.890569
-0.009367, 18.808437
-0.009100, 18.556201
-0.009196, 18.470727
-0.009135, 18.707389
-0.008959, 18.321226
-0.009077, 18.466053
-0.009111, 18.100849
-0.009031, 18.000171
-0.008981, 18.196409
-0.008795, 18.001056
-0.008938, 18.000553
-0.008605, 17.814128
-0.008736, 17.993526
-0.008794, 17.804826
-0.008556, 17.745721
-0.008640, 17.964597
-0.008661, 17.512302
-0.008250, 17.708385
-0.008449, 17.460514
-0.008430, 17.100994
-0.008531, 17.296689
-0.008595, 17.487133
-0.008224, 17.001972
-0.008373, 17.391698
-0.008210, 17.000171
-0.008276, 17.097961
-0.008348, 17.098350
-0.008128, 16.905115
-0.008151, 17.089015
-0.008288, 16.802845
-0.008207, 16.721729
-0.008178, 16.903585
-0.008124, 16.709119
-0.008205, 16.511535
-0.007957, 16.484695
-0.008101, 16.491008
-0.008103, 16.098361
-0.007949, 16.294799
-0.007890, 16.196435
-0.007955, 16.099346
-0.007945, 16.001142
-0.007854, 16.001567
-0.007774, 16.083353
-0.007978, 15.920847
-0.007813, 15.804961
-0.007642, 15.903441
-0.007839, 15.894514
-0.007724, 15.586788
-0.007616, 15.938060
-0.007792, 15.805468
-0.007495, 15.708669
-0.007789, 15.903656
-0.007354, 15.512713
-0.007640, 15.708327
-0.007647, 15.709513
-0.007514, 15.685590
-0.007580, 15.240153
-0.007460, 15.543641
-0.007472, 15.675893
-0.007415, 15.204049
-0.007237, 15.100109
-0.007361, 15.001696
-0.007247, 15.099249
-0.007574, 15.294889
-0.007318, 15.197950
-0.007254, 14.904790
-0.006972, 15.078757
-0.007311, 15.120433
-0.007217, 15.075064
-0.007272, 14.929644
-0.007136, 14.999678
-0.007093, 14.806537
-0.006898, 15.002576
-0.007238, 14.860825
-0.007035, 14.879960
-0.007187, 14.772322
-0.006919, 14.805878
-0.007098, 14.903812
-0.006968, 14.650153
-0.006955, 14.668112
-0.007008, 14.512148
-0.007122, 14.416100
-0.006831, 14.609334
-0.007039, 14.632592
-0.007077, 14.194913
-0.006745, 14.392085
-0.007025, 14.588743
