Drift,Temp
-0.007677, 19.904439
-0.007740, 19.904359
-0.007804, 19.619449
-0.007738, 19.979190
-0.007722, 19.920169
-0.007941, 19.905920
-0.007715, 19.512218
-0.007656, 19.417644
-0.007471, 19.514316
-0.007593, 19.264530
-0.007532, 18.708812
-0.007522, 19.299228
-0.007517, 19.293087
-0.007580, 19.002183
-0.007571, 19.295547
-0.007439, 19.099651
-0.007422, 19.001840
-0.007440, 19.100528
-0.007307, 19.066530
-0.007428, 19.131698

-0.003461, 13.239947
-0.004137, 13.251743
-0.003992, 13.099836
-0.004831, 13.294759
-0.004578, 12.805804
-0.004356, 12.902558
-0.004227, 12.625108
